,USD/JPY,USD/AUD,USD/EUR,USD/CNY,AUD/CNY,AUD/EUR,AUD/JPY,CNY/EUR,CNY/JPY,EUR/JPY
2010-06-16,91.39,0.8648,1.2323,6.8323,0.1265752382067532,0.7017771646514648,0.009462742094321042,5.544347967215776,0.07475982054929424,0.013483969799759273
2010-06-17,90.92,0.8648,1.2365,6.829,0.12663640357299752,0.6993934492519208,0.009511658600967884,5.522846744844319,0.0751099868015838,0.0135998680158381
2010-06-18,90.79,0.8699,1.236,6.8267,0.1274261356145722,0.7038025889967637,0.009581451701729264,5.523220064724919,0.07519220178433747,0.013613834122700737
2010-06-21,91.18,0.8818,1.2385,6.7968,0.12973752354048965,0.7119903108599113,0.009670980478175039,5.487928946306016,0.0745426628646633,0.01358302259267383
2010-06-22,90.59,0.8791,1.2303,6.8127,0.1290384135511618,0.7145411688206129,0.009704161607241416,5.537429895147525,0.07520366486367148,0.013580969201898663
2010-06-23,89.82,0.8739,1.231,6.8124,0.12828078210322352,0.709910641754671,0.009729458917835672,5.534037367993501,0.07584502338009352,0.013705188154085952
2010-06-24,89.4,0.8671,1.2288,6.8001,0.12751283069366628,0.7056477864583334,0.00969910514541387,5.533935546875,0.07606375838926173,0.013744966442953019
2010-06-25,89.35,0.8682,1.2332,6.7911,0.12784379555594821,0.7040220564385339,0.009716843872411864,5.506892637041842,0.07600559597090095,0.013801902630106324
2010-06-28,89.23,0.8738,1.2316,6.796,0.12857563272513242,0.7094835985709645,0.009792670626470918,5.518025332900292,0.07616272554073741,0.013802532780455004
2010-06-29,88.39,0.8525,1.2187,6.7977,0.12541006516910133,0.6995158775744647,0.00964475619413961,5.577828834003447,0.07690575856997398,0.013787758796243917
2010-06-30,88.49,0.848,1.2291,6.7815,0.1250460812504608,0.6899357253274753,0.009583003729234943,5.5174517939956065,0.07663577805401742,0.013889705051418242
2010-07-01,87.42,0.838,1.2464,6.7807,0.12358606043623814,0.6723363286264442,0.00958590711507664,5.440227856225931,0.07756463051933196,0.01425760695493022
2010-07-02,87.69,0.8432,1.2577,6.7709,0.12453292767578902,0.6704301502743102,0.009615691641008096,5.383557287111394,0.07721404949253051,0.014342570418519787
2010-07-05,,,,,,,,,,
2010-07-06,87.55,0.8555,1.2646,6.7801,0.12617807996932198,0.676498497548632,0.009771559109080527,5.361458168590859,0.07744260422615648,0.014444317532838378
2010-07-07,87.16,0.8568,1.2594,6.777,0.12642762284196546,0.680323963792282,0.009830197338228546,5.3811338732729865,0.07775355667737495,0.014449288664525013
2010-07-08,88.44,0.8767,1.2683,6.7763,0.1293773888405177,0.6912402428447528,0.009912935323383085,5.3428210991090435,0.07662030755314338,0.014340796019900497
2010-07-09,88.48,0.8753,1.2639,6.772,0.12925280567040756,0.6925389666904027,0.00989263110307414,5.358018830603687,0.07653707052441229,0.014284584086799276
2010-07-12,88.53,0.8733,1.2573,6.7709,0.12897842236630286,0.6945836315915055,0.009864452727888851,5.385270023065298,0.07648141872811476,0.014201965435445612
2010-07-13,88.24,0.8821,1.2719,6.772,0.1302569403425871,0.693529365516157,0.009996600181323664,5.324317949524334,0.07674524025385314,0.01441409791477788
2010-07-14,88.59,0.8854,1.2755,6.7714,0.13075582597394925,0.6941591532732261,0.009994356022124392,5.308820070560564,0.07643526357376679,0.014397787560672762
2010-07-15,87.41,0.8781,1.2893,6.7774,0.12956295924690883,0.6810672457922904,0.010045761354536095,5.25665089583495,0.07753575105823132,0.014750028600846584
2010-07-16,86.4,0.8707,1.2919,6.775,0.12851660516605165,0.6739685734189953,0.010077546296296296,5.244213948448023,0.07841435185185185,0.014952546296296295
